threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,n_flagged
0.01,0.08060458853429278,0.08060458853429278,0.0,13998
0.015,0.07593760675020289,0.07593760675020289,0.0,13998
0.019999999999999997,0.07122300270301005,0.07122300270301005,0.0,13998
0.024999999999999998,0.06646004374251266,0.06646004374251266,0.0,13998
0.03,0.06164798211231943,0.06164798211231943,0.0,13998
0.034999999999999996,0.05678605455849725,0.05678605455849725,0.0,13998
0.039999999999999994,0.05187348192598942,0.05187348192598942,0.0,13998
0.045,0.04690946874235586,0.04690946874235586,0.0,13998
0.049999999999999996,0.041893202788368264,0.041893202788368264,0.0,13998
0.05499999999999999,0.03691797240875682,0.03682385465497339,0.0,13939
0.05999999999999999,0.031679297650424244,0.031700577286116874,0.0,13436
0.06499999999999999,0.027459232143935017,0.026522505506898247,0.0,12794
0.06999999999999999,0.024177032970915988,0.02128875553650522,0.0,11118
0.07499999999999998,0.021688426531975634,0.0159984244853512,0.0,10109
0.07999999999999999,0.017198109046634,0.010650589835815058,0.0,7469
0.08499999999999998,0.01418001166442983,0.005244308905956133,0.0,6028
0.08999999999999998,0.011379961658572895,-0.00022138170445069882,0.0,4856
0.09499999999999999,0.008618831893111804,-0.005747466686243249,0.0,3977
0.09999999999999998,0.008088457081170331,-0.011334952612277918,0.0,3251
0.10499999999999998,0.006389180896552663,-0.016984868548659368,0.0,2571
0.10999999999999997,0.005905338001737009,-0.022698266686573182,0.0,2013
0.11499999999999998,0.006003682527689593,-0.02847622299553687,0.0,1675
0.11999999999999998,0.005179311330190027,-0.034319837898920624,0.0,1385
0.12499999999999997,0.0050925642438715765,-0.04023023697262873,0.0,1125
0.12999999999999998,0.003826490812316374,-0.04620857166787373,0.0,880
0.13499999999999998,0.003777996361164726,-0.0522560200590175,0.0,713
0.13999999999999999,0.0036882345318434186,-0.05837378761750017,0.0,590
0.145,0.0032627885855038598,-0.06456310801292414,0.0,510
0.15,0.003122294781607456,-0.07082524394241196,0.0,459
0.155,0.0024458270031813504,-0.07716148798940847,0.0,394
0.15999999999999998,0.002605814436075903,-0.08357316351315491,0.0,371
0.16499999999999998,0.002469129465030505,-0.09006162557011993,0.0,316
0.16999999999999998,0.002354897515479837,-0.0966282618687351,0.0,292
0.175,0.0021713058575467494,-0.10327449375884867,0.0,251
0.18,0.0017789997874260786,-0.11000177725737822,0.0,231
0.18499999999999997,0.0017175985701726021,-0.11681160411171793,0.0,213
0.18999999999999997,0.0016545573529904629,-0.12370550290253102,0.0,196
0.19499999999999998,0.0014997705972193015,-0.1306850401876399,0.0,180
0.19999999999999998,0.0012858979854264898,-0.13775182168881267,0.0,163
0.205,0.0011883997803819233,-0.14490749352333354,0.0,155
0.20999999999999996,0.0012777593905820186,-0.1521537434823419,0.0,147
0.21499999999999997,0.0010966079776637792,-0.1594923023580256,0.0,130
0.21999999999999997,0.0010532640194020398,-0.16692494532185911,0.0,125
0.22499999999999998,0.000993229447524762,-0.17445349335619373,0.0,121
0.22999999999999998,0.0010001428775539363,-0.18207981474162357,0.0,114
0.235,0.0010412318473133886,-0.1898058266026799,0.0,110
0.23999999999999996,0.0009663034568848186,-0.19763349651453962,0.0,103
0.24499999999999997,0.0006845821872377229,-0.20556484417357632,0.0,97
0.24999999999999997,0.0007143877696813832,-0.21360194313473355,0.0,94
0.25499999999999995,0.0006760313793629201,-0.22174692261885917,0.0,90
0.25999999999999995,0.0008630576568853467,-0.230001969393311,0.0,81
0.26499999999999996,0.0008096394723055679,-0.23836932972931987,0.0,78
0.26999999999999996,0.0007134091562982579,-0.24685131143979475,0.0,73
0.27499999999999997,0.0005665834035404075,-0.2554502860014485,0.0,70
0.27999999999999997,0.0005199155434903401,-0.26416869076534744,0.0,67
0.285,0.0004755924172983755,-0.2730090312602099,0.0,64
0.29,0.0005051023385634567,-0.28197388359302844,0.0,62
0.295,0.0004656186952746036,-0.29106589695184415,0.0,59
0.3,0.00043883820137570646,-0.30028779621578594,0.0,59
