threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,n_flagged
0.01,0.08060458853429278,0.08060458853429278,0.0,13998
0.015,0.07593760675020289,0.07593760675020289,0.0,13998
0.019999999999999997,0.07122300270301005,0.07122300270301005,0.0,13998
0.024999999999999998,0.06647103432358469,0.06646004374251266,0.0,13992
0.03,0.061636198396530874,0.06164798211231943,0.0,13970
0.034999999999999996,0.0569215291303643,0.05678605455849725,0.0,13860
0.039999999999999994,0.05194789731866458,0.05187348192598942,0.0,13623
0.045,0.04793766349568264,0.04690946874235586,0.0,13137
0.049999999999999996,0.04351749498048593,0.041893202788368264,0.0,12386
0.05499999999999999,0.03923954366874785,0.03682385465497339,0.0,11417
0.05999999999999999,0.03450492927561081,0.031700577286116874,0.0,10333
0.06499999999999999,0.031359712961286305,0.026522505506898247,0.0,9224
0.06999999999999999,0.028640804293086422,0.02128875553650522,0.0,8145
0.07499999999999998,0.02667562547545403,0.0159984244853512,0.0,7088
0.07999999999999999,0.023363586102362457,0.010650589835815058,0.0,6264
0.08499999999999998,0.019722567704832154,0.005244308905956133,0.0,5534
0.08999999999999998,0.017447547451833783,-0.00022138170445069882,0.0,4875
0.09499999999999999,0.016161740548570877,-0.005747466686243249,0.0,4308
0.09999999999999998,0.015097394865933235,-0.011334952612277918,0.0,3808
0.10499999999999998,0.013337899029470301,-0.016984868548659368,0.0,3380
0.10999999999999997,0.01269121913082287,-0.022698266686573182,0.0,2999
0.11499999999999998,0.012429943583546644,-0.02847622299553687,0.0,2661
0.11999999999999998,0.010943121744664823,-0.034319837898920624,0.0,2335
0.12499999999999997,0.010817871940889522,-0.04023023697262873,0.0,2060
0.12999999999999998,0.009871689387482287,-0.04620857166787373,0.0,1806
0.13499999999999998,0.009144989333736366,-0.0522560200590175,0.0,1602
0.13999999999999999,0.0082569935239918,-0.05837378761750017,0.0,1440
0.145,0.007943072903480782,-0.06456310801292414,0.0,1303
0.15,0.007606128606607664,-0.07082524394241196,0.0,1190
0.155,0.007334522006947739,-0.07716148798940847,0.0,1079
0.15999999999999998,0.006793487505017726,-0.08357316351315491,0.0,982
0.16499999999999998,0.006188651415557229,-0.09006162557011993,0.0,901
0.16999999999999998,0.005930279196511724,-0.0966282618687351,0.0,830
0.175,0.005297293552758618,-0.10327449375884867,0.0,759
0.18,0.005124425440568167,-0.11000177725737822,0.0,701
0.18499999999999997,0.004701811038737351,-0.11681160411171793,0.0,656
0.18999999999999997,0.004410683007625428,-0.12370550290253102,0.0,621
0.19499999999999998,0.0039499875314929645,-0.1306850401876399,0.0,582
0.19999999999999998,0.004161308758394058,-0.13775182168881267,0.0,547
0.205,0.003452874220126686,-0.14490749352333354,0.0,515
0.20999999999999996,0.0029543099285431395,-0.1521537434823419,0.0,473
0.21499999999999997,0.0026364093869642906,-0.1594923023580256,0.0,442
0.21999999999999997,0.0021083598023160822,-0.16692494532185911,0.0,409
0.22499999999999998,0.0020532887186648797,-0.17445349335619373,0.0,381
0.22999999999999998,0.0017952471874460732,-0.18207981474162357,0.0,355
0.235,0.0018877580083802824,-0.1898058266026799,0.0,331
0.23999999999999996,0.0016769312909363007,-0.19763349651453962,0.0,309
0.24499999999999997,0.0016733705571940743,-0.20556484417357632,0.0,287
0.24999999999999997,0.0017621564985474117,-0.21360194313473355,0.0,266
0.25499999999999995,0.0016315849531716425,-0.22174692261885917,0.0,247
0.25999999999999995,0.0014712526499924706,-0.230001969393311,0.0,226
0.26499999999999996,0.0014661958511079827,-0.23836932972931987,0.0,211
0.26999999999999996,0.0009678486359108057,-0.24685131143979475,0.0,193
0.27499999999999997,0.0008474116992082622,-0.2554502860014485,0.0,176
0.27999999999999997,0.0006866060230826631,-0.26416869076534744,0.0,161
0.285,0.0003526977380385013,-0.2730090312602099,0.0,142
0.29,0.00017306295265520806,-0.28197388359302844,0.0,132
0.295,6.079895912182052e-05,-0.29106589695184415,0.0,120
0.3,7.143877696813789e-05,-0.30028779621578594,0.0,111
