threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,n_flagged
0.01,0.08060458853429278,0.08060458853429278,0.0,13998
0.015,0.07593760675020289,0.07593760675020289,0.0,13998
0.019999999999999997,0.07122300270301005,0.07122300270301005,0.0,13998
0.024999999999999998,0.06648202490465671,0.06646004374251266,0.0,13986
0.03,0.0617768665037568,0.06164798211231943,0.0,13873
0.034999999999999996,0.057052561912989797,0.05678605455849725,0.0,13638
0.039999999999999994,0.05239736629042244,0.05187348192598942,0.0,13172
0.045,0.047632459087274245,0.04690946874235586,0.0,12561
0.049999999999999996,0.043513735044856026,0.041893202788368264,0.0,11847
0.05499999999999999,0.03851419439360575,0.03682385465497339,0.0,11046
0.05999999999999999,0.03578018744319098,0.031700577286116874,0.0,10120
0.06499999999999999,0.032643318793441095,0.026522505506898247,0.0,9104
0.06999999999999999,0.028650790358684113,0.02128875553650522,0.0,8186
0.07499999999999998,0.026472893811084995,0.0159984244853512,0.0,7363
0.07999999999999999,0.024205321257073996,0.010650589835815058,0.0,6641
0.08499999999999998,0.0207633096687505,0.005244308905956133,0.0,6036
0.08999999999999998,0.01850499835926326,-0.00022138170445069882,0.0,5392
0.09499999999999999,0.017561703763521078,-0.005747466686243249,0.0,4795
0.09999999999999998,0.016915114857678094,-0.011334952612277918,0.0,4219
0.10499999999999998,0.016188266320567746,-0.016984868548659368,0.0,3678
0.10999999999999997,0.015329637781320293,-0.022698266686573182,0.0,3182
0.11499999999999998,0.014634859055732748,-0.02847622299553687,0.0,2780
0.11999999999999998,0.013852628297549002,-0.034319837898920624,0.0,2428
0.12499999999999997,0.012787541077296762,-0.04023023697262873,0.0,2147
0.12999999999999998,0.012513281864568501,-0.04620857166787373,0.0,1897
0.13499999999999998,0.01107011984371013,-0.0522560200590175,0.0,1696
0.13999999999999999,0.00997152417122712,-0.05837378761750017,0.0,1514
0.145,0.009686429723878684,-0.06456310801292414,0.0,1366
0.15,0.009312254691846733,-0.07082524394241196,0.0,1248
0.155,0.009142895307951853,-0.07716148798940847,0.0,1141
0.15999999999999998,0.00854884031052055,-0.08357316351315491,0.0,1053
0.16499999999999998,0.00800798745415299,-0.09006162557011993,0.0,960
0.16999999999999998,0.007566485401528966,-0.0966282618687351,0.0,877
0.175,0.0076006529071252615,-0.10327449375884867,0.0,807
0.18,0.00715084733359121,-0.11000177725737822,0.0,744
0.18499999999999997,0.00709829712745993,-0.11681160411171793,0.0,692
0.18999999999999997,0.006343057826603096,-0.12370550290253102,0.0,632
0.19499999999999998,0.005737731832142836,-0.1306850401876399,0.0,571
0.19999999999999998,0.005054293470495786,-0.13775182168881267,0.0,522
0.205,0.004724394590062732,-0.14490749352333354,0.0,485
0.20999999999999996,0.0041000432249815085,-0.1521537434823419,0.0,446
0.21499999999999997,0.003464098146869026,-0.1594923023580256,0.0,409
0.21999999999999997,0.003201922618982199,-0.16692494532185911,0.0,382
0.22499999999999998,0.0027884167784337855,-0.17445349335619373,0.0,350
0.22999999999999998,0.0024855127726966563,-0.18207981474162357,0.0,327
0.235,0.0023154568299673063,-0.1898058266026799,0.0,303
0.23999999999999996,0.002116843759634836,-0.19763349651453962,0.0,277
0.24499999999999997,0.0021739151004542758,-0.20556484417357632,0.0,245
0.24999999999999997,0.0018812211268276428,-0.21360194313473355,0.0,225
0.25499999999999995,0.001793640702267152,-0.22174692261885917,0.0,209
0.25999999999999995,0.0014596679834570966,-0.230001969393311,0.0,188
0.26499999999999996,0.0015760268959705624,-0.23836932972931987,0.0,169
0.26999999999999996,0.001516850743844033,-0.24685131143979475,0.0,150
0.27499999999999997,0.001537165407866149,-0.2554502860014485,0.0,136
0.27999999999999997,0.0012025527456303283,-0.26416869076534744,0.0,121
0.285,0.0012784044074228387,-0.2730090312602099,0.0,113
0.29,0.0014086519402168114,-0.28197388359302844,0.0,100
0.295,0.0014758947326821766,-0.29106589695184415,0.0,93
0.3,0.0013879533810952586,-0.30028779621578594,0.0,78
