threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,n_flagged
0.01,0.08060458853429278,0.08060458853429278,0.0,13998
0.015,0.0759419583508304,0.07593760675020289,0.0,13994
0.019999999999999997,0.07112532111001281,0.07122300270301005,0.0,13965
0.024999999999999998,0.06640875436417656,0.06646004374251266,0.0,13866
0.03,0.06157948926429843,0.06164798211231943,0.0,13629
0.034999999999999996,0.0571669379859595,0.05678605455849725,0.0,13251
0.039999999999999994,0.05245094537314854,0.05187348192598942,0.0,12754
0.045,0.047449560857235396,0.04690946874235586,0.0,12082
0.049999999999999996,0.04246095306848347,0.041893202788368264,0.0,11247
0.05499999999999999,0.03917453060187738,0.03682385465497339,0.0,10469
0.05999999999999999,0.0352694761865677,0.031700577286116874,0.0,9582
0.06499999999999999,0.032325473539764664,0.026522505506898247,0.0,8768
0.06999999999999999,0.029645556123993146,0.02128875553650522,0.0,7901
0.07499999999999998,0.027621706575842897,0.0159984244853512,0.0,7098
0.07999999999999999,0.0248948607565056,0.010650589835815058,0.0,6380
0.08499999999999998,0.022365412076822848,0.005244308905956133,0.0,5724
0.08999999999999998,0.019827008253926394,-0.00022138170445069882,0.0,5116
0.09499999999999999,0.01755302059725975,-0.005747466686243249,0.0,4533
0.09999999999999998,0.016216602371767405,-0.011334952612277918,0.0,4097
0.10499999999999998,0.01450606271765879,-0.016984868548659368,0.0,3593
0.10999999999999997,0.013588618598804655,-0.022698266686573182,0.0,3161
0.11499999999999998,0.012440437415191682,-0.02847622299553687,0.0,2799
0.11999999999999998,0.011433451532037047,-0.034319837898920624,0.0,2493
0.12499999999999997,0.011715959422774685,-0.04023023697262873,0.0,2212
0.12999999999999998,0.01142363523196253,-0.04620857166787373,0.0,1976
0.13499999999999998,0.010622078959256775,-0.0522560200590175,0.0,1751
0.13999999999999999,0.010599520861784244,-0.05837378761750017,0.0,1560
0.145,0.010309743497191328,-0.06456310801292414,0.0,1418
0.15,0.009245018195876722,-0.07082524394241196,0.0,1260
0.155,0.008797537433496417,-0.07716148798940847,0.0,1148
0.15999999999999998,0.008565849543132014,-0.08357316351315491,0.0,1058
0.16499999999999998,0.007738060099261401,-0.09006162557011993,0.0,967
0.16999999999999998,0.007374547482686856,-0.0966282618687351,0.0,896
0.175,0.006574532292492,-0.10327449375884867,0.0,829
0.18,0.006568882662680036,-0.11000177725737822,0.0,770
0.18499999999999997,0.006381279709546588,-0.11681160411171793,0.0,720
0.18999999999999997,0.005840340507197679,-0.12370550290253102,0.0,662
0.19499999999999998,0.0052554091578300025,-0.1306850401876399,0.0,604
0.19999999999999998,0.004893556222317475,-0.13775182168881267,0.0,551
0.205,0.004565791519183783,-0.14490749352333354,0.0,518
0.20999999999999996,0.004125363297830977,-0.1521537434823419,0.0,478
0.21499999999999997,0.003760773832112504,-0.1594923023580256,0.0,445
0.21999999999999997,0.003309996666190409,-0.16692494532185911,0.0,413
0.22499999999999998,0.0033000106005927118,-0.17445349335619373,0.0,392
0.22999999999999998,0.003116400673194501,-0.18207981474162357,0.0,367
0.235,0.002646036268486535,-0.1898058266026799,0.0,339
0.23999999999999996,0.0023424398974289566,-0.19763349651453962,0.0,317
0.24499999999999997,0.002221698653260779,-0.20556484417357632,0.0,296
0.24999999999999997,0.002214602086012288,-0.21360194313473355,0.0,279
0.25499999999999995,0.002438028059617339,-0.22174692261885917,0.0,265
0.25999999999999995,0.0023169333070747556,-0.230001969393311,0.0,250
0.26499999999999996,0.0019628654433626576,-0.23836932972931987,0.0,237
0.26999999999999996,0.002060959784861634,-0.24685131143979475,0.0,222
0.27499999999999997,0.0018450911706598492,-0.2554502860014485,0.0,201
0.27999999999999997,0.00189709641059834,-0.26416869076534744,0.0,196
0.285,0.0017974595771423903,-0.2730090312602099,0.0,186
0.29,0.0018654576408299781,-0.28197388359302844,0.0,174
0.295,0.0017672230784742306,-0.29106589695184415,0.0,168
0.3,0.0015512420141652892,-0.30028779621578594,0.0,156
